xval,yval,nspk,ntime,ntime2,ntime3
141,126,0,,,
142,123,0,,,
142,123,0,,,
207,184,0,,,
207,183,0,,,
207,184,0,,,
205,184,0,,,
203,182,0,,,
200,181,0,,,
198,182,0,,,
195,180,0,,,
193,179,0,,,
191,180,0,,,
191,183,0,,,
190,184,0,,,
190,185,0,,,
188,184,0,,,
186,183,0,,,
187,184,0,,,
185,183,0,,,
182,180,0,,,
180,180,0,,,
177,174,0,,,
176,173,0,,,
175,170,0,,,
173,169,0,,,
170,167,0,,,
211,180,0,,,
209,181,0,,,
213,183,0,,,
144,118,0,,,
144,116,0,,,
144,117,0,,,
146,113,0,,,
142,111,0,,,
148,105,0,,,
0,0,0,,,
150,100,0,,,
153,97,0,,,
153,96,0,,,
152,96,0,,,
157,92,0,,,
158,90,0,,,
157,86,0,,,
157,84,0,,,
161,84,0,,,
163,80,0,,,
166,78,0,,,
163,75,0,,,
164,74,0,,,
168,73,0,,,
169,73,0,,,
170,71,0,,,
171,69,0,,,
169,65,0,,,
171,65,0,,,
172,63,0,,,
176,61,0,,,
177,59,0,,,
176,57,0,,,
182,56,0,,,
185,54,0,,,
186,52,0,,,
189,54,0,,,
193,53,0,,,
0,0,0,,,
199,52,0,,,
202,55,0,,,
204,56,0,,,
207,56,0,,,
207,54,0,,,
209,55,0,,,
211,53,0,,,
212,52,0,,,
213,51,0,,,
216,54,0,,,
218,52,0,,,
218,51,0,,,
219,47,0,,,
219,46,0,,,
220,43,0,,,
221,41,0,,,
222,41,0,,,
224,40,0,,,
225,40,0,,,
227,40,0,,,
229,43,0,,,
228,38,0,,,
229,39,0,,,
229,38,0,,,
229,36,0,,,
229,35,0,,,
230,35,0,,,
228,31,0,,,
227,29,0,,,
227,27,0,,,
227,26,0,,,
225,24,0,,,
226,23,0,,,
222,21,0,,,
221,19,0,,,
221,17,0,,,
219,15,0,,,
220,13,0,,,
219,11,0,,,
220,10,0,,,
218,9,0,,,
219,8,0,,,
220,4,0,,,
221,3,0,,,
221,4,0,,,
218,2,0,,,
216,1,0,,,
217,3,0,,,
217,2,0,,,
221,3,0,,,
221,3,0,,,
221,3,0,,,
216,3,0,,,
219,3,0,,,
219,3,0,,,
218,3,0,,,
215,2,0,,,
211,3,0,,,
207,4,0,,,
202,6,0,,,
199,7,0,,,
196,9,0,,,
194,10,0,,,
191,10,0,,,
190,10,0,,,
188,11,0,,,
187,10,0,,,
186,8,0,,,
185,9,0,,,
181,10,0,,,
181,10,0,,,
181,5,0,,,
179,5,0,,,
176,9,0,,,
175,10,0,,,
173,11,0,,,
170,12,0,,,
169,13,0,,,
165,14,0,,,
163,15,0,,,
161,14,0,,,
159,15,0,,,
157,13,0,,,
155,19,0,,,
152,19,0,,,
152,19,0,,,
150,16,0,,,
148,19,0,,,
147,23,0,,,
146,22,0,,,
146,24,0,,,
145,25,0,,,
144,26,0,,,
145,29,0,,,
144,32,0,,,
141,30,0,,,
141,34,0,,,
139,38,0,,,
137,38,0,,,
135,40,0,,,
132,36,0,,,
0,0,0,,,
128,38,0,,,
128,44,0,,,
124,40,0,,,
0,0,0,,,
120,41,0,,,
116,38,0,,,
117,36,0,,,
116,35,0,,,
115,36,0,,,
115,36,0,,,
113,30,0,,,
113,35,0,,,
111,34,0,,,
110,32,0,,,
109,28,0,,,
108,28,0,,,
0,0,0,,,
107,25,0,,,
107,24,0,,,
105,28,0,,,
103,30,0,,,
103,34,0,,,
103,39,0,,,
103,41,0,,,
104,45,0,,,
103,47,0,,,
102,46,0,,,
103,47,0,,,
103,51,0,,,
103,52,0,,,
105,54,0,,,
107,57,0,,,
109,62,0,,,
111,63,0,,,
111,63,0,,,
109,67,0,,,
105,64,0,,,
106,67,0,,,
104,67,0,,,
104,69,0,,,
104,70,0,,,
100,68,0,,,
100,69,0,,,
99,70,0,,,
100,73,0,,,
100,74,0,,,
96,72,0,,,
94,72,0,,,
93,73,0,,,
92,75,0,,,
94,76,0,,,
94,78,0,,,
97,82,0,,,
99,85,0,,,
100,84,1,65270,,
100,87,0,,,
100,89,0,,,
96,87,0,,,
96,89,0,,,
95,92,0,,,
93,91,0,,,
92,92,0,,,
87,89,0,,,
84,89,0,,,
81,87,0,,,
79,85,0,,,
76,84,0,,,
74,83,0,,,
73,83,0,,,
71,84,0,,,
69,84,0,,,
69,89,0,,,
0,0,0,,,
69,91,0,,,
67,93,0,,,
66,95,0,,,
64,96,0,,,
60,95,0,,,
57,92,0,,,
58,96,0,,,
56,95,0,,,
55,95,0,,,
54,98,0,,,
53,98,0,,,
53,100,0,,,
50,97,0,,,
51,100,0,,,
48,102,0,,,
49,104,0,,,
51,109,0,,,
49,109,0,,,
53,114,0,,,
55,117,0,,,
57,121,0,,,
61,123,0,,,
63,125,0,,,
64,127,0,,,
66,131,0,,,
65,132,0,,,
65,133,0,,,
67,136,0,,,
66,138,0,,,
65,139,0,,,
64,142,0,,,
65,144,0,,,
65,147,0,,,
65,150,0,,,
65,152,0,,,
66,153,0,,,
67,155,0,,,
69,157,0,,,
70,158,0,,,
71,161,0,,,
72,163,0,,,
72,165,0,,,
69,168,0,,,
68,167,0,,,
67,169,0,,,
67,171,0,,,
67,172,0,,,
67,174,0,,,
67,175,0,,,
63,175,0,,,
64,176,0,,,
64,180,0,,,
66,180,0,,,
66,180,0,,,
66,182,0,,,
63,181,0,,,
64,184,0,,,
63,185,0,,,
64,186,0,,,
63,187,0,,,
62,189,0,,,
62,188,0,,,
60,187,0,,,
63,188,0,,,
65,188,0,,,
66,189,0,,,
0,0,0,,,
67,190,0,,,
67,188,0,,,
68,188,0,,,
69,188,0,,,
72,188,0,,,
75,189,0,,,
82,188,0,,,
85,184,0,,,
89,182,0,,,
90,183,0,,,
92,182,0,,,
94,180,0,,,
96,180,0,,,
98,179,0,,,
98,180,0,,,
100,182,0,,,
104,181,0,,,
105,181,0,,,
108,182,0,,,
109,185,1,100203,,
111,183,0,,,
113,181,0,,,
115,184,0,,,
115,184,0,,,
119,178,0,,,
121,179,0,,,
121,180,0,,,
124,180,0,,,
127,181,0,,,
127,182,0,,,
128,178,0,,,
125,179,0,,,
125,180,1,104376,,
123,182,0,,,
121,183,0,,,
118,185,0,,,
116,187,0,,,
114,188,0,,,
114,188,0,,,
113,188,0,,,
113,188,0,,,
113,188,0,,,
114,188,1,107885,,
114,188,0,,,
114,188,0,,,
114,188,0,,,
114,188,0,,,
113,188,0,,,
113,187,0,,,
114,188,0,,,
114,188,0,,,
115,188,0,,,
115,187,0,,,
117,184,1,111604,,
118,185,0,,,
120,182,0,,,
121,182,0,,,
121,183,0,,,
119,186,0,,,
116,188,0,,,
115,188,0,,,
113,188,0,,,
112,187,0,,,
112,188,0,,,
112,188,0,,,
112,188,0,,,
112,188,0,,,
112,188,0,,,
112,188,0,,,
112,188,0,,,
113,188,0,,,
113,188,0,,,
114,187,0,,,
115,186,0,,,
116,184,0,,,
118,181,0,,,
119,175,0,,,
119,173,1,119447,,
120,169,0,,,
119,164,0,,,
115,158,0,,,
113,156,0,,,
113,156,0,,,
112,155,0,,,
113,155,0,,,
114,155,1,122190,,
115,155,0,,,
